Network,School ID,School,Total,White No,White Pct,African American No,African American Pct,Asian/Pac Islander No,Asian/Pac Islander Pct,Native American/Alaskan No,Native American/Alaskan Pct,Hispanic No,Hispanic Pct,Multi-Racial No,Multi-Racial Pct,Asian No,Asian Pct,Hawaiian Pac Islander No,Hawaiian Pac Islander Pct,Na No,Na Pct,,,
ES Network - Fullerton,609930,Funston,623,6,1.0,83,13.3,0,0.0,2,0.3,525,84.3,2,0.3,1,0.2,0,0.0,4,0.6,,,
ES Network - Fullerton,609942,Goethe,799,78,9.8,25,3.1,0,0.0,15,1.9,653,81.7,18,2.3,2,0.3,0,0.0,8,1.0,,,
ES Network - Fullerton,610068,Hanson Park,"1,569",26,1.7,52,3.3,0,0.0,7,0.4,"1,477",94.1,3,0.2,0,0.0,0,0.0,4,0.3,,,
ES Network - Fullerton,610012,Jenner,317,0,0.0,312,98.4,0,0.0,0,0.0,4,1.3,0,0.0,1,0.3,0,0.0,0,0.0,,,
ES Network - Fullerton,610033,LaSalle Magnet,577,197,34.1,154,26.7,0,0.0,0,0.0,124,21.5,51,8.8,50,8.7,1,0.2,0,0.0,,,
ES Network - Fullerton,610038,Lincoln,781,502,64.3,95,12.2,0,0.0,7,0.9,66,8.5,59,7.6,52,6.7,0,0.0,0,0.0,,,
ES Network - Fullerton,610039,Linne,696,31,4.5,10,1.4,0,0.0,1,0.1,633,90.9,9,1.3,11,1.6,0,0.0,1,0.1,,,
ES Network - Fullerton,610040,Lloyd,"1,289",13,1.0,28,2.2,0,0.0,4,0.3,"1,231",95.5,3,0.2,3,0.2,0,0.0,7,0.5,,,
ES Network - Fullerton,610041,Locke J.,"1,323",143,10.8,26,2.0,0,0.0,15,1.1,"1,075",81.3,3,0.2,38,2.9,10,0.8,13,1.0,,,
ES Network - Fullerton,610325,Logandale Middle,950,21,2.2,51,5.4,0,0.0,0,0.0,865,91.1,6,0.6,6,0.6,1,0.1,0,0.0,,,
ES Network - Fullerton,610541,Lorca,901,36,4.0,17,1.9,0,0.0,5,0.6,816,90.6,6,0.7,7,0.8,1,0.1,13,1.4,,,
ES Network - Fullerton,610046,Lyon,"1,403",84,6.0,32,2.3,0,0.0,16,1.1,"1,234",88.0,9,0.6,23,1.6,1,0.1,4,0.3,,,
ES Network - Fullerton,610048,Manierre,351,0,0.0,342,97.4,0,0.0,0,0.0,4,1.1,1,0.3,1,0.3,0,0.0,3,0.9,,,
ES Network - Fullerton,610059,Mayer Magnet,599,306,51.1,119,19.9,1,0.2,3,0.5,122,20.4,17,2.8,15,2.5,4,0.7,12,2.0,,,
ES Network - Fullerton,609968,McAuliffe,733,13,1.8,39,5.3,0,0.0,1,0.1,674,92.0,1,0.1,0,0.0,0,0.0,5,0.7,,,
ES Network - Fullerton,610074,Monroe,"1,115",19,1.7,29,2.6,0,0.0,1,0.1,"1,059",95.0,3,0.3,3,0.3,1,0.1,0,0.0,,,
