Network,School ID,CPS Unit,School,Total,White No,White Pct,African American No,African American Pct,Asian/Pac Islander No,Asian/Pac Islander Pct,Native American/Alaskan No,Native American/Alaskan Pct,Hispanic No,Hispanic Pct,Multi-Racial No,Multi-Racial Pct,Asian No,Asian Pct,Hawaiian Pac Islander No,Hawaiian Pac Islander Pct,Na No,Na Pct,,,
Ravenswood-Ridge Elementary Network,610355,7910,Courtenay,257,43,16.7,43,16.7,0,0,0,0,156,60.7,1,0.4,13,5.1,0,0,1,0.4,,,
West Side High School Network,610378,7660,Crane AA HS,162,0,0,160,98.8,0,0,0,0,1,0.6,1,0.6,0,0,0,0,0,0,,,
West Side High School Network,609702,1270,Crane Tech HS,476,2,0.4,461,96.8,0,0,0,0,11,2.3,2,0.4,0,0,0,0,0,0,,,
Austin-North Lawndale Elementary Network,609873,2940,Crown,297,1,0.3,274,92.3,0,0,0,0,21,7.1,0,0,0,0,0,0,1,0.3,,,
Englewood-Gresham Elementary Network,610003,4090,Cuffe,512,0,0,501,97.9,0,0,0,0,7,1.4,3,0.6,0,0,0,0,1,0.2,,,
Rock Island Elementary Network,610004,4100,Cullen,232,0,0,227,97.8,0,0,0,0,3,1.3,2,0.9,0,0,0,0,0,0,,,
Southwest Side High School Network,609756,1820,Curie HS,3323,105,3.2,351,10.6,1,0,19,0.6,2715,81.7,7,0.2,121,3.6,1,0,3,0.1,,,
Rock Island Elementary Network,609900,3160,Curtis,501,0,0,490,97.8,0,0,0,0,7,1.4,3,0.6,0,0,1,0.2,0,0,,,
Pershing Elementary Network,610239,6560,Daley,796,4,0.5,110,13.8,0,0,0,0,676,84.9,1,0.1,0,0,0,0,5,0.6,,,
Fullerton Elementary Network,609875,2960,Darwin,620,19,3.1,59,9.5,0,0,0,0,539,86.9,1,0.2,2,0.3,0,0,0,0,,,
Englewood-Gresham Elementary Network,610521,7000,Davis M. Magnet,354,0,0,350,98.9,0,0,0,0,3,0.8,0,0,1,0.3,0,0,0,0,,,
Pershing Elementary Network,609876,2970,Davis N.,1025,18,1.8,7,0.7,0,0,0,0,993,96.9,3,0.3,1,0.1,2,0.2,1,0.1,,,
Midway Elementary Network,609879,2980,Dawes,1025,10,1,221,21.6,0,0,10,1,774,75.5,4,0.4,2,0.2,2,0.2,2,0.2,,,
Fulton Elementary Network,610313,7420,De Diego,867,17,2,90,10.4,0,0,4,0.5,739,85.2,5,0.6,9,1,0,0,3,0.3,,,
Austin-North Lawndale Elementary Network,610367,8050,DePriest,522,1,0.2,495,94.8,0,0,1,0.2,18,3.4,4,0.8,2,0.4,1,0.2,0,0,,,
North-Northwest Side High School Network,610402,6990,DeVry Advantage HS,200,20,10,87,43.5,0,0,0,0,81,40.5,2,1,10,5,0,0,0,0,,,
Ravenswood-Ridge Elementary Network,609880,2990,Decatur Classical,289,116,40.1,23,8,0,0,0,0,50,17.3,33,11.4,67,23.2,0,0,0,0,,,
Garfield-Humboldt Elementary Network,609881,3000,Delano,414,0,0,405,97.8,0,0,0,0,8,1.9,0,0,1,0.2,0,0,0,0,,,
Skyway Elementary Network,609883,3010,Deneen,550,4,0.7,537,97.6,0,0,0,0,5,0.9,4,0.7,0,0,0,0,0,0,,,
Fulton Elementary Network,610252,6740,Dett,249,2,0.8,246,98.8,0,0,0,0,1,0.4,0,0,0,0,0,0,0,0,,,
O'Hare Elementary Network,609884,3020,Dever,838,432,51.6,12,1.4,0,0,4,0.5,339,40.5,12,1.4,37,4.4,1,0.1,1,0.1,,,
