School ID,School Name,School Network,School Year,Time Period1,# of Misconducts,# of Group 1-2 Misconducts,# of Group 3-4 Misconducts,# of Group 5-6 Misconducts,# of Suspensions (includes ISS and OSS),"% of Misconducts Resulting in a Suspension
(includes ISS and OSS)",# of ISS,% of Misconducts Resulting in an ISS,ISS per 100 Students,# of Unique Students Receiving ISS,% of Unique Students Receiving ISS,Average Length of ISS,# of OSS,% of Misconducts Resulting in an OSS,OSS per 100 Students,# of Unique Students Receiving OSS,% of Unique Students Receiving OSS,Average Length of OSS,# of Police Notifications,% of Misconducts Resulting in a Police Notification,Police Notifications per 100 Students,# of Unique Students Receiving Police Notification,% of Unique Students Receiving Police Notification,# of Students Expelled,Expulsions per 100 Students
609774,ALCOTT ES,HS Network - North-Northwest Side,2012-2013,EOY,95,43,50,2,8,8.4,6,6.3,1.23,6,1.2,1.17,2,2.1,0.41,2,0.4,1,0,0,0,0,0,0,0
609774,ALCOTT ES,Network 4,2013-2014,S1,11,9,1,1,1,9.1,0,0,0,0,0,0,1,9.1,0.2,1,0.2,10,1,9.1,0.2,1,0.2,0,0
609774,ALCOTT ES,Network 4,2013-2014,EOY,36,31,4,1,8,22.2,6,16.7,1.17,6,1.2,1.17,2,5.6,0.39,2,0.4,6,1,2.8,0.19,1,0.2,0,0
609774,ALCOTT ES,Network 4,2014-2015,S1,40,28,11,1,2,5,1,2.5,0.18,1,0.2,1,1,2.5,0.18,1,0.2,1,0,0,0,0,0,0,0
609774,ALCOTT ES,Network 4,2014-2015,EOY,164,109,54,1,3,1.8,2,1.2,0.35,2,0.4,1,1,0.6,0.18,1,0.2,1,0,0,0,0,0,0,0
610524,ALCOTT HS,HS Network - North-Northwest Side,2011-2012,EOY,342,288,46,8,340,99.4,230,67.3,100.93,92,40.4,1.06,110,32.2,48.27,56,24.6,2.84,4,1.2,1.76,4,1.8,1,0.44
610524,ALCOTT HS,HS Network - North-Northwest Side,2012-2013,EOY,102,23,66,13,97,95.1,47,46.1,17.87,40,15.2,1.11,53,52,20.15,31,11.8,2.74,7,6.9,2.66,7,2.7,1,0.38
610524,ALCOTT HS,Network 4,2013-2014,S1,27,9,10,8,27,100,8,29.6,2.87,8,2.9,1.38,20,74.1,7.18,15,5.4,3.7,1,3.7,0.36,1,0.4,0,0
610524,ALCOTT HS,Network 4,2013-2014,EOY,81,41,24,16,58,71.6,20,24.7,7.34,19,7,1.2,40,49.4,14.67,28,10.3,3.43,1,1.2,0.37,1,0.4,0,0
610524,ALCOTT HS,Network 4,2014-2015,S1,6,2,3,1,6,100,4,66.7,1.48,4,1.5,1,2,33.3,0.74,2,0.7,2.5,0,0,0,0,0,0,0
